time,field_id,et,etof,eto,pr,ndvi,acres,year,month,et_acft,pr_acft,net_et_acft
2023-09-01,21106017061,32.688,0.291,112.509,14.537,0.209,26.894364000000003,2023,9,2.8842617140157483,1.2826882200393703,1.601573493976378
2023-09-01,21106017064,42.781,0.38,112.465,15.165,0.254,41.448554,2023,9,5.817620041581365,2.0622287447834644,3.7553912967979004
2023-09-01,21106017069,90.591,0.807,112.216,17.31,0.638,15.74027,2023,9,4.678237531397638,0.8939110029527558,3.784326528444882
2023-09-01,21106017076,88.528,0.789,112.212,14.92,0.597,2.886128,2023,9,0.8382648936482938,0.14127634435695535,0.6969885492913385
2023-09-01,21106017080,57.339,0.51,112.353,14.257,0.401,24.559269,2023,9,4.620091618080708,1.1487581959744095,3.4713334221062984
2023-09-01,21106017099,64.306,0.575,111.93,14.903,0.513,8.794289000000001,2023,9,1.8553987809514436,0.429991105534777,1.4254076754166667
2023-09-01,21106017134,27.942,0.248,112.589,14.765,0.208,18.967396,2023,9,1.7388024246456693,0.9188110299868767,0.8199913946587926
2023-09-01,21106017149,55.638,0.498,111.753,13.596,0.406,14.573958,2023,9,2.660321112874015,0.6500903312598425,2.0102307816141725
2023-09-01,21106017172,82.32,0.731,112.589,14.85,0.675,6.325760000000001,2023,9,1.7084532913385828,0.3081940157480315,1.4002592755905514
2023-09-01,21106017173,56.981,0.509,111.965,15.52,0.334,13.630036,2023,9,2.5480744137664044,0.6940228304461943,1.85405158332021
2023-09-01,21106017183,22.874,0.204,111.93,15.31,0.302,5.082847,2023,9,0.38144698910104985,0.2553096705052494,0.12613731859580046
2023-09-01,21106017194,9.231,0.083,111.541,15.892,0.196,29.955932999999998,2023,9,0.9072284039468502,1.5618756142913384,0.0
2023-09-01,21106017225,63.89,0.568,112.465,15.309,0.406,2.008923,2023,9,0.4210960973425196,0.10090092587598425,0.32019517146653537
2023-09-01,21106017279,35.078,0.312,112.509,14.57,0.247,18.539913000000002,2023,9,2.1336714836417325,0.8862419042322836,1.247429579409449
2023-09-01,21106017338,72.946,0.648,112.589,14.797,0.572,44.762164999999996,2023,9,10.71266695567585,2.1730503789534117,8.539616576722437
2023-09-01,21106017450,34.781,0.309,112.465,15.372,0.227,11.181275000000001,2023,9,1.2759052682906824,0.5639060344488189,0.7119992338418635
2023-09-01,21106017464,28.027,0.249,112.465,15.438,0.251,25.172076999999998,2023,9,2.3146253349048553,1.2749557897834645,1.0396695451213909
2023-09-01,21106017470,59.888,0.533,112.465,15.269,0.422,50.712333,2023,9,9.964108263464567,2.540441642312992,7.423666621151575
2023-09-01,21106017538,61.709,0.548,112.56,14.022,0.519,32.6172,2023,9,6.603591846456693,1.5005196141732282,5.1030722322834645
2023-09-01,21106017541,49.354,0.44,112.215,13.735,0.377,72.140845,2023,9,11.68123118152887,3.250834993684383,8.430396187844487
2023-09-01,21106017547,61.455,0.55,111.771,14.065,0.339,49.921613,2023,9,10.065396085679133,2.3036334870242783,7.761762598654855
2023-09-01,21106017581,92.0,0.818,112.413,14.934,0.706,137.427136,2023,9,41.480631601049865,6.733388612283464,34.7472429887664
2023-09-01,21106017594,95.882,0.853,112.424,14.58,0.746,33.509231,2023,9,10.541115770150919,1.6029021915354331,8.938213578615485
2023-09-01,21106017598,68.678,0.61,112.535,14.336,0.497,116.25807900000001,2023,9,26.19544734108268,5.468096524094488,20.727350816988192
2023-09-01,21106017642,81.293,0.726,111.93,15.294,0.586,2.4759420000000003,2023,9,0.6603568012007875,0.1242357511417323,0.5361210500590552
2023-09-01,21106017678,76.977,0.684,112.465,15.276,0.695,2.7329260000000004,2023,9,0.6901983093897639,0.13696908653543308,0.5532292228543308
2023-09-01,21106017688,74.173,0.662,112.03,14.96,0.58,56.697095000000004,2023,9,13.797223187122704,2.7827708044619426,11.01445238266076
2023-09-01,21106017709,96.154,0.859,111.988,15.129,0.742,63.054978000000006,2023,9,19.891694076811024,3.129785965098425,16.7619081117126
2023-09-01,21106017713,71.373,0.635,112.4,14.481,0.536,96.18614600000001,2023,9,22.52327361698819,4.569788649035433,17.953484967952758
