date,rh,sw_in,H,vp,theta_1,G,lw_out,LE,wd,es,ws,sw_out,vpd,Rn,lw_in,t_avg,theta_mean,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2013-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.86910140073198,,,1.1776980596784186,0.849114076211571,,,0.849114076211571,,,,,4.8,3.5,0.0,,,,False,
2013-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.99990676383942,,,1.1782510032585294,0.8487155939052335,,,0.8487155939052335,,,,,5.1,3.7,0.0,,,,False,
2013-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.12724427146856,,,1.1797196394801148,0.8476590255297313,,,0.8476590255297313,,,,,5.4,3.9,0.0,,,,False,
2013-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.25032861586715,,,1.1814390004452198,0.8464254181749161,,,0.8464254181749161,,,,,4.3,3.1000001,0.0,,,,False,
2013-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.36838271975742,,,1.1838643482561113,0.8446913715013444,,,0.8446913715013444,,,,,3.9,2.9,2.7,,,,False,
2013-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.4806383255175,,,1.185822242658932,0.8432967134751422,,,0.8432967134751422,,,,,2.4,1.8000001,9.0,,,,False,
2013-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.5863365671698,,,1.1884662324336102,0.841420624927904,,,0.841420624927904,,,,,3.8,3.1000001,0.0,,,,False,
2013-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.68472852408263,,,1.190520442478046,0.839968776948104,,,0.839968776948104,,,,,5.4,3.9,0.0,,,,False,
2013-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.77507575534173,,,1.193949448565748,0.8375563983896194,,,0.8375563983896194,,,,,5.1,3.7,0.0,,,,False,
2013-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.8566508137989,,,1.1982230683904844,0.8345691435762892,,,0.8345691435762892,,,,,4.8,3.6000001000000004,0.0,,,,False,
2013-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.92873773886004,,,1.203076799056116,0.8312021317213983,,,0.8312021317213983,,,,,4.8,3.7,0.0,,,,False,
2013-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.9906325271282,,,1.2086853459594054,0.8273451840406326,,,0.8273451840406326,,,,,3.4,2.5,0.0,,,,False,
2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.0416435800827,,,1.214381874380013,0.8234642010862828,,,0.8234642010862828,,,,,3.4,2.6000001,0.0,,,,False,
2013-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.0810921280275,,,1.2195496217187682,0.8199748351286054,,,0.8199748351286054,,,,,3.7,2.9,0.4,,,,False,
2013-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.10831262961347,,,1.2245591461385068,0.8166204165420463,,,0.8166204165420463,,,,,4.0,3.3,0.0,,,,False,
2013-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.1226531462983,,,1.2286326015390119,0.8139129620582899,,,0.8139129620582899,,,,,3.1000001,2.4,0.90000004,,,,False,
2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.12347569117856,,,1.233675350963738,0.8105860259093345,,,0.8105860259093345,,,,,4.0,3.2,7.9,,,,False,
2013-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.11015655169257,,,1.2380664346360708,0.8077110985517911,,,0.8077110985517911,,,,,3.8,3.2,2.8,,,,False,
2013-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.08208658576683,,,1.2403746643683924,0.8062080182113419,,,0.8062080182113419,,,,,4.8,3.9,0.0,,,,False,
2013-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.03867149104383,,,1.2427331840010982,0.804677957323393,,,0.804677957323393,,,,,5.3,4.2000003,0.0,,,,False,
2013-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.97933204690605,,,1.2433190982502988,0.8042987527556541,,,0.8042987527556541,,,,,3.0,2.2,6.5,,,,False,
2013-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.90350432907906,,,1.2427320277910632,0.8046787059777355,,,0.8046787059777355,,,,,4.0,3.3,0.0,,,,False,
2013-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.81063989666865,,,1.2393173850849075,0.8068958057354199,,,0.8068958057354199,,,,,4.2000003,3.3,0.0,,,,False,
2013-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.7002059515652,,,1.235550944246412,0.8093555386418491,,,0.8093555386418491,,,,,4.6,3.6000001000000004,0.0,,,,False,
2013-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.57168547021456,,,1.2321638811432685,0.8115803549379695,,,0.8115803549379695,,,,,5.9,4.3,1.6,,,,False,
2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.4245773078298,,,1.2281186376424147,0.8142535821455102,,,0.8142535821455102,,,,,7.6,5.3,0.0,,,,False,
2013-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.25839627519326,,,1.2254103219940191,0.816053188105005,,,0.816053188105005,,,,,8.3,5.9,0.0,,,,False,
2013-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.07267318826354,,,1.2203583928594357,0.8194314111749488,,,0.8194314111749488,,,,,7.0,5.1,0.0,,,,False,
2013-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.86695489088015,,,1.215381820799551,0.8227867019947197,,,0.8227867019947197,,,,,6.4,4.9,0.0,,,,False,
2013-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.6408042509188,,,1.2121289503802617,0.8249947331810581,,,0.8249947331810581,,,,,6.6,4.9,0.0,,,,False,
2013-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.39380013032934,,,1.208143112203974,0.8277165096573157,,,0.8277165096573157,,,,,6.5,4.8,0.0,,,,False,
2013-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.1255373295444,,,1.2037794909264583,0.8307169274252838,,,0.8307169274252838,,,,,6.0,4.4,0.0,,,,False,
2013-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.83562650681745,,,1.2006675667799072,0.8328700030449885,,,0.8328700030449885,,,,,7.2000003,5.1,0.0,,,,False,
2013-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.52369407311267,,,1.1991061368159222,0.8339545343795639,,,0.8339545343795639,,,,,6.7000003,4.9,0.0,,,,False,
2013-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.1893820632224,,,1.197548966319297,0.8350389237723868,,,0.8350389237723868,,,,,6.9,5.1,0.0,,,,False,
2013-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.83234798385604,,,1.1970926153549293,0.8353572540446316,,,0.8353572540446316,,,,,7.2000003,5.4,0.0,,,,False,
2013-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.4522646394895,,,1.1973501006011669,0.8351776138807846,,,0.8351776138807846,,,,,8.2,6.1,0.0,,,,False,
2013-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.04881993682585,,,1.1971936429601922,0.8352867607343709,,,0.8352867607343709,,,,,7.9,6.0,0.0,,,,False,
2013-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.6217166687597,,,1.1987634437582158,0.8341929387377071,,,0.8341929387377071,,,,,7.7000003,6.0,0.0,,,,False,
2013-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.1706722787895,,,1.2006664664550384,0.8328707663107265,,,0.8328707663107265,,,,,7.7000003,5.9,0.0,,,,False,
2013-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.695418606863,,,1.2023869220523031,0.8316790391342103,,,0.8316790391342103,,,,,7.5,5.7000003,0.0,,,,False,
2013-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.1957016176785,,,1.204741391990875,0.8300536585262228,,,0.8300536585262228,,,,,7.6,5.7000003,0.0,,,,False,
2013-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.6712811125044,,,1.206731348333449,0.8286848612833715,,,0.8286848612833715,,,,,8.0,6.0,0.0,,,,False,
2013-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.1219304256059,,,1.207829956759639,0.8279311126566159,,,0.8279311126566159,,,,,8.1,6.1,0.0,,,,False,
2013-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.54743610640145,,,1.2083108718868,0.8276015910032171,,,0.8276015910032171,,,,,8.8,6.5,0.0,,,,False,
2013-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.94759758848926,,,1.2097234576633051,0.8266352063070631,,,0.8266352063070631,,,,,9.5,7.0,0.0,,,,False,
2013-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.3222268467073,,,1.2106515767861967,0.8260014847992899,,,0.8260014847992899,,,,,8.7,6.5,0.0,,,,False,
2013-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.6711480434045,,,1.2112782499921697,0.8255741403814231,,,0.8255741403814231,,,,,9.0,6.6,0.0,,,,False,
2013-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.99419716511034,,,1.209745109275837,0.8266204114671795,,,0.8266204114671795,,,,,8.5,6.5,0.0,,,,False,
2013-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.291221650797,,,1.2067774910748503,0.8286531754162251,,,0.8286531754162251,,,,,7.9,6.2000003,0.0,,,,False,
2013-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.56208001292987,,,1.2038779198592409,0.8306490080962041,,,0.8306490080962041,,,,,9.6,7.1,0.0,,,,False,
2013-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.80664145249983,,,1.2015905347364173,0.8322302573891043,,,0.8322302573891043,,,,,8.2,6.1,0.0,,,,False,
2013-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0247854692206,,,1.1989451839767526,0.8340664889141336,,,0.8340664889141336,,,,,5.0,4.0,3.1000001,,,,False,
2013-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.21640146806664,,,1.1970355815280649,0.8353970553853203,,,0.8353970553853203,,,,,5.9,4.4,0.8,,,,False,
2013-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.3813883633073,,,1.1954495114450707,0.8365054236303051,,,0.8365054236303051,,,,,4.4,3.4,0.0,,,,False,
2013-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.51965418117385,,,1.1950763997487934,0.8367665868141997,,,0.8367665868141997,,,,,7.0,5.4,0.0,,,,False,
2013-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.6311156622678,,,1.1939965996413031,0.8375233231823416,,,0.8375233231823416,,,,,8.900001,6.6,0.0,,,,False,
2013-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.71569786479637,,,1.1932404592751686,0.8380540504027562,,,0.8380540504027562,,,,,10.0,7.4,0.0,,,,False,
